iso,elapsed_s,cycle,phase,motion_active,loop_cycles_ok,loop_no_reading,loop_overrun,loop_estops,loop_fallback,loop_last_dt_ms,loop_cmds,loop_ok_rate,loop_noread_rate,tac_frames_ok,tac_frame_rate,tac_bad,tac_last_err,tacfz_thumb,tacfz_index,tacfz_middle,tacfz_ring,tacfz_pinky,temp_wrist,temp_index_pip,temp_index_mcp,temp_index_abd,temp_middle_abd,temp_ring_abd,temp_ring_mcp,temp_ring_pip,temp_middle_pip,temp_middle_mcp,temp_pinky_pip,temp_pinky_mcp,temp_pinky_abd,temp_thumb_abd,temp_thumb_mcp,temp_thumb_dip,temp_thumb_cmc,cur_wrist,cur_index_pip,cur_index_mcp,cur_index_abd,cur_middle_abd,cur_ring_abd,cur_ring_mcp,cur_ring_pip,cur_middle_pip,cur_middle_mcp,cur_pinky_pip,cur_pinky_mcp,cur_pinky_abd,cur_thumb_abd,cur_thumb_mcp,cur_thumb_dip,cur_thumb_cmc,motor_read_fails,cmd_fails,anomalies
2026-07-03 19:21:25,0.79,0,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2026-07-03 19:21:25,0.83,0,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2026-07-03 19:21:25,0.88,0,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2026-07-03 19:21:25,0.92,0,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2026-07-03 19:21:25,0.97,0,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2026-07-03 19:21:25,1.01,0,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2026-07-03 19:21:25,1.28,0,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2026-07-03 19:21:25,1.32,0,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2026-07-03 19:21:25,1.36,0,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2026-07-03 19:21:25,1.4,0,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2026-07-03 19:21:25,1.44,0,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2026-07-03 19:21:25,1.49,0,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2026-07-03 19:21:25,1.53,0,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2026-07-03 19:21:25,1.58,0,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2026-07-03 19:21:25,1.62,0,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2026-07-03 19:21:26,1.67,0,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2026-07-03 19:21:26,1.71,0,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2026-07-03 19:21:26,1.75,0,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2026-07-03 19:21:26,1.8,0,close,1,0,0,0,0,0,nan,0,0.0,0.0,,,,,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
